"province" "country" "latitude" "longitude"
"New Mexico" "United States" 35.05211207 -106.6656831
"New Mexico" "United States" 35.05211207 -106.6656831
"New Mexico" "United States" 35.50925306 -105.9738467
"North Carolina" "United States" 35.24914332 -80.83351092
"North Carolina" "United States" 35.39021416 -80.55173987
"North Carolina" "United States" 34.07378493 -78.2454133
"North Carolina" "United States" 34.73819517 -77.4336137
"North Carolina" "United States" 35.12942736 -77.09575317
"North Carolina" "United States" 35.36381042 -78.00501329
"North Carolina" "United States" 35.36916683 -78.87013911
"North Carolina" "United States" 35.70272339 -79.25606172
"North Carolina" "United States" 36.13082335 -80.25857832
"North Carolina" "United States" 36.13082335 -80.25857832
"North Carolina" "United States" 36.03642498 -78.87677997
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 35.7905 -78.652
"North Carolina" "United States" 36.23068719 -81.69627186
"North Carolina" "United States" 35.51835001 -78.366583
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 38.84023192 -77.28025141
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 38.87875126 -77.10001007
"Virginia" "United States" 39.09349607 -77.6358915
"Virginia" "United States" 39.09349607 -77.6358915
"Virginia" "United States" 39.09349607 -77.6358915
"Virginia" "United States" 39.09349607 -77.6358915
"Virginia" "United States" 37.32583576 -76.78276973
"Virginia" "United States" NA NA
"Virginia" "United States" NA NA
"Virginia" "United States" NA NA
"Virginia" "United States" 38.70497172 -77.48342443
"Virginia" "United States" 38.70497172 -77.48342443
"Virginia" "United States" 37.32583576 -76.78276973
